flight_date,airline_code,origin_airport_code,origin_state_name,destination_airport_code,destination_city_name,destination_state_name,scheduled_departure_time,departure_time,cancelled,diverted,distance
20020101,WN,ABQ,New Mexico,DAL,Dallas,Texas,1425,1425,F,FALSE,580 miles
20020101,CO,ABQ,New Mexico,IAH,Houston,Texas,1130,1136,FALSE,F,744 miles
20020101,WN,ABQ,New Mexico,MCI,Kansas City,Missouri,1215,1338,F,FALSE,718 miles
20020101,WN,ABQ,New Mexico,LAS,Las Vegas,Nevada,1925,1925,0,0,487 miles
20020103,CO,ABQ,New Mexico,IAH,Houston,Texas,1455,1453,F,FALSE,744 miles
20020103,WN,ABQ,New Mexico,LBB,Lubbock,Texas,1610,1637,FALSE,F,289 miles
20020104,DL,ABQ,New Mexico,DFW,Dallas/Fort Worth,Texas,1530,1817,FALSE,FALSE,569 miles
20020105,DL,ABQ,New Mexico,CVG,Cincinnati,Kentucky,1335,1520,F,FALSE,1240 miles
20020105,WN,ABQ,New Mexico,ELP,El Paso,Texas,1750,1850,FALSE,F,223 miles
20020105,WN,ABQ,New Mexico,LAX,Los Angeles,California,945,1020,F,FALSE,677 miles
20020105,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,855,902,F,FALSE,328 miles
20020106,WN,ABQ,New Mexico,DAL,Dallas,Texas,825,833,F,FALSE,580 miles
20020106,WN,ABQ,New Mexico,SAN,San Diego,California,1510,1522,FALSE,F,628 miles
20020107,WN,ABQ,New Mexico,LAS,Las Vegas,Nevada,2005,2005,0,0,487 miles
20020108,WN,ABQ,New Mexico,MDW,Chicago,Illinois,1005,1005,F,FALSE,1121 miles
20020108,WN,ABQ,New Mexico,DAL,Dallas,Texas,630,630,FALSE,FALSE,580 miles
20020108,CO,ABQ,New Mexico,IAH,Houston,Texas,700,654,FALSE,F,744 miles
20020108,HP,ABQ,New Mexico,PHX,Phoenix,Arizona,628,625,FALSE,F,328 miles
20020110,WN,ABQ,New Mexico,AMA,Amarillo,Texas,1655,1715,0,0,277 miles
20020110,WN,ABQ,New Mexico,MAF,Midland/Odessa,Texas,1345,1345,0,0,332 miles
20020110,AA,ABQ,New Mexico,STL,St. Louis,Missouri,1416,1412,FALSE,FALSE,934 miles
20020110,WN,ABQ,New Mexico,STL,St. Louis,Missouri,1140,1140,FALSE,FALSE,934 miles
20020111,WN,ABQ,New Mexico,AMA,Amarillo,Texas,1205,1205,0,0,277 miles
20020111,WN,ABQ,New Mexico,OAK,Oakland,California,1840,1850,FALSE,F,889 miles
20020111,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,715,715,0,0,328 miles
20020111,HP,ABQ,New Mexico,PHX,Phoenix,Arizona,1215,1211,F,FALSE,328 miles
20020111,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,1055,1055,0,0,328 miles
20020116,WN,ABQ,New Mexico,LAS,Las Vegas,Nevada,635,635,0,0,487 miles
20020116,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,2125,2125,0,0,328 miles
20020117,UA,ABQ,New Mexico,DEN,Denver,Colorado,1400,1358,FALSE,F,349 miles
20020117,WN,ABQ,New Mexico,MCI,Kansas City,Missouri,1225,1225,0,0,718 miles
20020117,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,1120,1120,FALSE,F,328 miles
20020117,WN,ABQ,New Mexico,TUS,Tucson,Arizona,1805,1819,0,0,321 miles
20020118,CO,ABQ,New Mexico,IAH,Houston,Texas,1630,1628,FALSE,F,744 miles
20020118,HP,ABQ,New Mexico,PHX,Phoenix,Arizona,914,914,FALSE,F,328 miles
20020119,WN,ABQ,New Mexico,ELP,El Paso,Texas,1110,1110,FALSE,FALSE,223 miles
20020120,WN,ABQ,New Mexico,MCO,Orlando,Florida,1025,1025,0,0,1552 miles
20020120,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,755,755,0,0,328 miles
20020120,HP,ABQ,New Mexico,PHX,Phoenix,Arizona,2030,2021,FALSE,F,328 miles
20020121,UA,ABQ,New Mexico,DEN,Denver,Colorado,1630,1628,FALSE,F,349 miles
20020121,WN,ABQ,New Mexico,MCO,Orlando,Florida,1735,1745,0,0,1552 miles
20020122,NW,ABQ,New Mexico,MSP,Minneapolis,Minnesota,1415,1408,0,0,981 miles
20020122,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,1515,1515,F,FALSE,328 miles
20020122,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,1310,1310,FALSE,F,328 miles
20020122,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,1730,1730,FALSE,F,328 miles
20020123,UA,ABQ,New Mexico,DEN,Denver,Colorado,900,856,FALSE,FALSE,349 miles
20020123,NW,ABQ,New Mexico,MSP,Minneapolis,Minnesota,835,830,0,0,981 miles
20020123,WN,ABQ,New Mexico,SEA,Seattle,Washington,1050,1050,FALSE,FALSE,1180 miles
20020124,WN,ABQ,New Mexico,DAL,Dallas,Texas,2025,2025,F,FALSE,580 miles
20020124,WN,ABQ,New Mexico,DAL,Dallas,Texas,1605,1619,F,FALSE,580 miles
20020125,AA,ABQ,New Mexico,STL,St. Louis,Missouri,845,1116,0,0,934 miles
20020127,UA,ABQ,New Mexico,DEN,Denver,Colorado,1131,1126,F,FALSE,349 miles
20020127,WN,ABQ,New Mexico,LAX,Los Angeles,California,1900,1900,FALSE,F,677 miles
20020129,WN,ABQ,New Mexico,HOU,Houston,Texas,1800,1836,FALSE,FALSE,759 miles
20020129,WN,ABQ,New Mexico,STL,St. Louis,Missouri,1720,1720,FALSE,F,934 miles
20020130,DL,ABQ,New Mexico,CVG,Cincinnati,Kentucky,1335,1345,F,FALSE,1240 miles
20020130,UA,ABQ,New Mexico,DEN,Denver,Colorado,635,628,0,0,349 miles
20020130,WN,ABQ,New Mexico,LAX,Los Angeles,California,955,955,0,0,677 miles
20020131,DL,ABQ,New Mexico,TUS,Tucson,Arizona,2100,2048,FALSE,FALSE,321 miles
20020901,CO,ABQ,New Mexico,IAH,Houston,Texas,1140,1135,FALSE,FALSE,744 miles
20020901,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,2135,2135,0,0,328 miles
20020902,WN,ABQ,New Mexico,HOU,Houston,Texas,1305,1320,F,FALSE,759 miles
20020902,HP,ABQ,New Mexico,PHX,Phoenix,Arizona,1215,1215,F,FALSE,328 miles
20020903,WN,ABQ,New Mexico,LAS,Las Vegas,Nevada,635,635,0,0,487 miles
20020904,DL,ABQ,New Mexico,ATL,Atlanta,Georgia,645,644,F,FALSE,1269 miles
20020904,WN,ABQ,New Mexico,LAS,Las Vegas,Nevada,930,930,FALSE,FALSE,487 miles
20020905,CO,ABQ,New Mexico,IAH,Houston,Texas,700,652,FALSE,F,744 miles
20020905,WN,ABQ,New Mexico,LAX,Los Angeles,California,635,635,0,0,677 miles
20020905,WN,ABQ,New Mexico,PHX,Phoenix,Arizona,1515,1515,F,FALSE,328 miles
20020906,WN,ABQ,New Mexico,LAX,Los Angeles,California,940,940,FALSE,F,677 miles
20020906,NW,ABQ,New Mexico,MSP,Minneapolis,Minnesota,835,831,0,0,981 miles
20020906,NW,ABQ,New Mexico,MSP,Minneapolis,Minnesota,1410,1406,FALSE,FALSE,981 miles
20020907,MQ,ABQ,New Mexico,DFW,Dallas/Fort Worth,Texas,1202,1156,FALSE,F,569 miles
20020907,UA,ABQ,New Mexico,DEN,Denver,Colorado,615,609,F,FALSE,349 miles
